Pair,Groupe,Feature,Type,Forward,IC,ICIR,IC_sign,p-value,n_obs,pct_pos,pct_pos_raw,Carry,Verdict
USDCAD,G10,Mom_60,Nouvelle,20j,-0.0208,-0.747,-1,0.302,2456,28%,0.275,1.375,JETTE
USDCAD,G10,Mom_120,Nouvelle,20j,-0.0165,-0.865,-1,0.414,2456,11%,0.1083,1.375,JETTE
USDCAD,G10,Mom_Ratio,Nouvelle,20j,-0.0227,-0.581,-1,0.261,2456,32%,0.325,1.375,JETTE
USDCAD,G10,BB_Width,Nouvelle,20j,-0.0092,-0.135,-1,0.647,2456,55%,0.55,1.375,JETTE
USDCAD,G10,Dist_MA20,Nouvelle,20j,-0.033,-0.896,-1,0.1023,2456,17%,0.1667,1.375,FILTRE
USDCHF,G10,Vol_20,Existante,5j,0.0227,0.168,1,0.2602,2471,54%,0.5372,3.625,JETTE
USDCHF,G10,Hurst,Existante,5j,-0.0132,-0.402,-1,0.5105,2471,35%,0.3471,3.625,JETTE
USDCHF,G10,Mom_20,Nouvelle,5j,-0.0063,-0.254,-1,0.7549,2471,46%,0.4628,3.625,JETTE
USDCHF,G10,Mom_60,Nouvelle,5j,-0.0215,-0.85,-1,0.2848,2471,17%,0.1736,3.625,JETTE
USDCHF,G10,Mom_120,Nouvelle,5j,-0.0249,-1.133,-1,0.2157,2471,15%,0.1488,3.625,JETTE
USDCHF,G10,Mom_Ratio,Nouvelle,5j,-0.0029,-0.079,-1,0.8865,2471,56%,0.562,3.625,JETTE
USDCHF,G10,BB_Width,Nouvelle,5j,0.0048,0.012,1,0.8111,2471,48%,0.4793,3.625,JETTE
USDCHF,G10,Dist_MA20,Nouvelle,5j,-0.0112,-0.253,-1,0.5768,2471,44%,0.438,3.625,JETTE
USDCHF,G10,Vol_20,Existante,20j,0.0084,0.098,1,0.6789,2456,54%,0.5417,3.625,JETTE
USDCHF,G10,Hurst,Existante,20j,-0.012,-0.353,-1,0.551,2456,38%,0.3833,3.625,JETTE
USDCHF,G10,Mom_20,Nouvelle,20j,0.0006,-0.077,1,0.9748,2456,53%,0.5333,3.625,JETTE
USDCHF,G10,Mom_60,Nouvelle,20j,-0.0345,-0.872,-1,0.0871,2456,18%,0.1833,3.625,FILTRE
